builder_id,Builder_name,Builder_ratings
105542.0,Aryan Developers,3
1899869.0,KD Developers Ahmedabad,5
100361287.0,Chavda Developers,4
100312039.0,Seventh Space,4
572851.0,Vaidehi Corporation,3
107583.0,Hindva Builders,5
105378.0,Shri Rang,2
101830.0,Siddhidhata,4
100052903.0,Shivanand Infracon Gandhinagar,4
100114069.0,Shyam Developers Gandhinagar,2
567251.0,Shivam Infrastructure Builders,5
1601088.0,MBA Developers,5
581181.0,Shree Sarju Infrastructure,2
102243.0,Aakar Developers,4
1610316.0,Elite Infrastructures Ahmedabad,4
108855.0,Sarthav,2
1163317.0,Shyam Associates,5
1369430.0,Shree Vinayak Developer Ahmedabad,4
559224.0,SR Buildcon,4
1144418.0,Ratnamani Buildcon,5
108567.0,Om,5
1219535.0,Nakshatra Buildcon,5
1278187.0,Siddhi Infra Ahmedabad,2
1469897.0,Harshdip Builders,5
105898.0,Sadguru Construction,4
1161898.0,Shree Developer Ahmedabad,5
100112111.0,Cube Infra,4
609654.0,Aum Construction,5
1257727.0,Sarovar Realty Llp,2
1221045.0,Royal Infrastructure Nava Naroda,5
106783.0,V Square Projects,3
1259914.0,Kalash Buildcon,3
2056512.0,Palladian Developers,5
100353148.0,Krushnam Infra,3
104877.0,Sahajanand Buildcon,3
572877.0,Patel Construction,4
718616.0,Vedant Developers Mumbai,4
740408.0,Pearl Associates Nikol,3
1468394.0,Uma Infrastructure,2
590149.0,NB Developer,3
572826.0,Shivansh Group,4
593319.0,Atithi Developers,3
1935952.0,Celebrity Projects,5
549069.0,Om Shanti Estates,2
101641.0,Santosh Associates,3
567258.0,Virgo Infracon,5
100152996.0,Ridham Corporation,3
100180043.0,S S Developers Ahmedabad,4
105319.0,Shivam Priory,2
109615.0,Suvidha Projects,5
1160272.0,Umiya Buildcon,3
100143381.0,Motherland Inframark,3
815865.0,Shree Sharan Group,2
100362030.0,Sadhna Reality,3
100433624.0,Krishna Corporation Ahmedabad,5
110425.0,Patidar Buildcon,3
109841.0,Vishwas group,4
100097883.0,Shripad Buildcon LLP,2
572887.0,Sadbhavana Associates,4
100464238.0,Shree Vitthal Shivalay Developers,3
502523.0,Shree Amthinath Developer LLP,3
106502.0,Shri Managalmurti Developers,3
100537620.0,Trinetra Developers Ahmedabad,3
1833239.0,Shree Developers Gandhinagar,5
100186438.0,Madhuram Blossom,2
581206.0,Aryaman,5
1160230.0,Trilok Infra,5
1617019.0,Vardan Corporation,4
100289405.0,Sampad Infrastructure,2
1891437.0,Shree Umiya Developers Ahmedabad,5
1161139.0,Aditi Construiction Ahmedabad,5
572812.0,Satv Developer,2
1460500.0,Shaligram Developers,5
105123.0,Aagam,4
2122966.0,Praveg Developers,2
264493.0,Ratna Builders,3
109652.0,Shree Ram Developers,4
104524.0,Acme Infrastructures,2
1375632.0,Kudrat Enterprise,4
595865.0,Sudarshan Green Corporation,3
748977.0,Span Infrastructure,3
1374937.0,Sarvam Infraspace,4
561397.0,Ami Enterprise,5
105473.0,Maruti Buildcon,2
105780.0,Greenland Developers,2
107827.0,Shyam Vijay Infrastructure,5
1441541.0,Saraswati Buildcon,5
572825.0,Neelkanth Developers Mumbai,4
572777.0,Ohm Developers,5
